dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall
banknote_authentication,0.2631691932678223,0.013063958938488242,0.024368858337402342,0.005734061003643222,138,5,1,26,"{'n_estimators': 138, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 26}",0.9963636363636363,0.9963636363636363,0.9963503649635036,0.9854014598540146,0.9890510948905109,0.9963636363636363,0.9927272727272727,0.9890510948905109,0.9927007299270073,1.0,0.9934372926343729,0.004258453990449617,1,1.0,0.9999464266580949,0.9999460742018982,0.9995685936151855,0.9997842968075928,0.9998392799742848,0.9994106932390443,0.9997842968075927,0.9999460742018982,1.0,0.999822573550559,0.00018605515988944583,2,0.9958847736625515,0.9959183673469387,0.9959183673469387,0.9838709677419355,0.9876543209876543,0.9959183673469387,0.991869918699187,0.9877551020408163,0.9918032786885246,1.0,0.9926593463861485,0.0047312341779998214,1,1.0,0.991869918699187,0.991869918699187,0.9682539682539683,0.9917355371900827,0.991869918699187,0.9838709677419355,0.983739837398374,0.9918032786885246,1.0,0.9895013345370446,0.008740203588421274,2,0.9918032786885246,1.0,1.0,1.0,0.9836065573770492,1.0,1.0,0.9918032786885246,0.9918032786885246,1.0,0.9959016393442622,0.005498527813524079,1
banknote_authentication,0.26191372871398927,0.016232336508665738,0.025081610679626463,0.007376255466059404,138,4,1,8,"{'n_estimators': 138, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_depth': 8}",0.9963636363636363,0.9963636363636363,0.9963503649635036,0.9854014598540146,0.9890510948905109,0.9963636363636363,0.9927272727272727,0.9890510948905109,0.9927007299270073,1.0,0.9934372926343729,0.004258453990449617,1,1.0,0.9998928533161898,1.0,0.9995685936151855,0.9997842968075927,0.9998392799742848,0.9993571198971392,0.9997303710094909,0.9999460742018982,1.0,0.999811858882178,0.0002012169186018831,3,0.9958847736625515,0.9959183673469387,0.9959183673469387,0.9838709677419355,0.9876543209876543,0.9959183673469387,0.991869918699187,0.9877551020408163,0.9918032786885246,1.0,0.9926593463861485,0.0047312341779998214,1,1.0,0.991869918699187,0.991869918699187,0.9682539682539683,0.9917355371900827,0.991869918699187,0.9838709677419355,0.983739837398374,0.9918032786885246,1.0,0.9895013345370446,0.008740203588421274,2,0.9918032786885246,1.0,1.0,1.0,0.9836065573770492,1.0,1.0,0.9918032786885246,0.9918032786885246,1.0,0.9959016393442622,0.005498527813524079,1
banknote_authentication,0.1967156410217285,0.01277677404690119,0.019138479232788087,0.006291758931180874,103,10,1,29,"{'n_estimators': 103, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 29}",0.9963636363636363,0.9963636363636363,0.9963503649635036,0.9817518248175182,0.9890510948905109,0.9963636363636363,0.9927272727272727,0.9854014598540146,0.9963503649635036,1.0,0.9930723291307233,0.005525099216495141,3,1.0,0.9998928533161899,0.9999460742018982,0.9994068162208801,0.9997842968075928,0.9998392799742848,0.9993035465552341,0.9997842968075927,0.9999460742018983,1.0,0.999790323808557,0.00023096675092007274,5,0.9958847736625515,0.9959183673469387,0.9959183673469387,0.9799196787148594,0.9876543209876543,0.9959183673469387,0.991869918699187,0.9836065573770492,0.9958847736625515,1.0,0.992257512514467,0.006122634257443893,3,1.0,0.991869918699187,0.991869918699187,0.9606299212598425,0.9917355371900827,0.991869918699187,0.9838709677419355,0.9836065573770492,1.0,1.0,0.989545273966647,0.0111914109463695,1,0.9918032786885246,1.0,1.0,1.0,0.9836065573770492,1.0,1.0,0.9836065573770492,0.9918032786885246,1.0,0.9950819672131146,0.006557377049180336,3
blood_transfusion,0.07009549140930176,0.0034171770421022518,0.015925264358520506,0.004893749518618398,56,11,6,21,"{'n_estimators': 56, 'min_samples_split': 11, 'min_samples_leaf': 6, 'max_depth': 21}",0.8266666666666667,0.8133333333333334,0.78,0.8120805369127517,0.7919463087248322,0.7666666666666667,0.76,0.8,0.7986577181208053,0.8120805369127517,0.7961431767337807,0.020517776563095568,1,0.7324561403508771,0.783869395711501,0.7231968810916178,0.7601503759398496,0.7302005012531328,0.7041910331384016,0.6979775828460038,0.7389132553606237,0.7751879699248121,0.7283208020050126,0.7374463937621833,0.026691910459692568,82,0.8916666666666667,0.8842975206611571,0.8674698795180723,0.8833333333333333,0.8713692946058091,0.8535564853556485,0.8536585365853658,0.8739495798319328,0.8790322580645161,0.8852459016393442,0.8743579456261846,0.01239778964017943,1,0.8492063492063492,0.8359375,0.8,0.8412698412698413,0.8267716535433071,0.816,0.7954545454545454,0.8387096774193549,0.8134328358208955,0.8307692307692308,0.8247551633483525,0.017049327668762933,1,0.9385964912280702,0.9385964912280702,0.9473684210526315,0.9298245614035088,0.9210526315789473,0.8947368421052632,0.9210526315789473,0.9122807017543859,0.956140350877193,0.9473684210526315,0.9307017543859649,0.01774013018961112,58
blood_transfusion,0.1802961826324463,0.00803221378242288,0.02150542736053467,0.0025500084691669938,146,18,7,28,"{'n_estimators': 146, 'min_samples_split': 18, 'min_samples_leaf': 7, 'max_depth': 28}",0.8333333333333334,0.8133333333333334,0.78,0.8053691275167785,0.7718120805369127,0.7666666666666667,0.7733333333333333,0.8,0.7986577181208053,0.8120805369127517,0.7954586129753914,0.02067848296353187,2,0.7398879142300195,0.7911793372319686,0.7202729044834308,0.7625313283208021,0.7225563909774436,0.7068713450292398,0.7155214424951266,0.7437865497076023,0.7852130325814537,0.731829573934837,0.7419649818991924,0.0275750681357461,62,0.8962655601659751,0.8852459016393442,0.8674698795180723,0.8796680497925311,0.860655737704918,0.8535564853556485,0.8617886178861789,0.8739495798319328,0.8790322580645161,0.8852459016393442,0.8742877971598461,0.012621756654839944,2,0.8503937007874016,0.8307692307692308,0.8,0.8346456692913385,0.8076923076923077,0.816,0.803030303030303,0.8387096774193549,0.8134328358208955,0.8307692307692308,0.8225442955580065,0.01598161606370941,15,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9298245614035088,0.9210526315789473,0.8947368421052632,0.9298245614035088,0.9122807017543859,0.956140350877193,0.9473684210526315,0.9333333333333333,0.01848360307518023,44
blood_transfusion,0.13268570899963378,0.019940064301420375,0.0182208776473999,0.0017573764551765338,98,17,8,18,"{'n_estimators': 98, 'min_samples_split': 17, 'min_samples_leaf': 8, 'max_depth': 18}",0.82,0.8,0.7733333333333333,0.8053691275167785,0.785234899328859,0.78,0.7733333333333333,0.8,0.7986577181208053,0.8120805369127517,0.794800894854586,0.015318263935431642,3,0.7370857699805068,0.7887426900584795,0.7185672514619882,0.7630325814536342,0.7302005012531327,0.7203947368421053,0.7252680311890839,0.7437865497076024,0.7834586466165414,0.7295739348370927,0.7440110693400166,0.024336064801006665,34,0.8870292887029289,0.8760330578512396,0.864,0.8796680497925311,0.8677685950413223,0.8619246861924686,0.860655737704918,0.8739495798319328,0.8790322580645161,0.8852459016393442,0.8735307154821201,0.009046157260442306,4,0.848,0.828125,0.7941176470588235,0.8346456692913385,0.8203125,0.824,0.8076923076923077,0.8387096774193549,0.8134328358208955,0.8307692307692308,0.8239804868051952,0.015008989465460252,4,0.9298245614035088,0.9298245614035088,0.9473684210526315,0.9298245614035088,0.9210526315789473,0.9035087719298246,0.9210526315789473,0.9122807017543859,0.956140350877193,0.9473684210526315,0.9298245614035089,0.015691705105261668,66
breast_w,0.08036975860595703,0.002045723244466299,0.015619444847106933,0.003376136042618974,69,26,5,24,"{'n_estimators': 69, 'min_samples_split': 26, 'min_samples_leaf': 5, 'max_depth': 24}",0.9785714285714285,0.95,0.9714285714285714,0.9785714285714285,0.9784172661870504,0.9642857142857143,0.9857142857142858,0.9714285714285714,0.9714285714285714,0.9496402877697842,0.9699486125385406,0.011480395928161196,1,0.9968297101449275,0.9850543478260869,0.9855072463768115,0.9968602825745683,0.9919871794871795,0.9934329710144927,0.9932065217391304,0.9868659420289855,0.9952904238618524,0.9828296703296704,0.9907864295383705,0.004974017486614962,41,0.968421052631579,0.9292929292929293,0.96,0.9690721649484536,0.9696969696969697,0.9484536082474226,0.9795918367346939,0.9591836734693877,0.9583333333333334,0.9306930693069307,0.9572738637661701,0.015796693046040883,1,0.9787234042553191,0.9019607843137255,0.9230769230769231,0.9791666666666666,0.9411764705882353,0.9387755102040817,0.96,0.94,0.9787234042553191,0.8867924528301887,0.942839561619046,0.0306915293637189,4,0.9583333333333334,0.9583333333333334,1.0,0.9591836734693877,1.0,0.9583333333333334,1.0,0.9791666666666666,0.9387755102040817,0.9791666666666666,0.9731292517006802,0.020665014903113465,1
breast_w,0.12113559246063232,0.007508492649361045,0.020349621772766113,0.009703160860250255,101,12,2,15,"{'n_estimators': 101, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_depth': 15}",0.9785714285714285,0.95,0.9714285714285714,0.9785714285714285,0.9784172661870504,0.9642857142857143,0.9857142857142858,0.9642857142857143,0.9714285714285714,0.9496402877697842,0.9692343268242547,0.011587799636526156,2,0.9972826086956521,0.9846014492753623,0.9889039855072463,0.9952904238618525,0.9933608058608059,0.9947916666666667,0.9943387681159421,0.9877717391304348,0.9966360170441804,0.9858058608058609,0.9918783324964003,0.004424498939001012,10,0.968421052631579,0.9292929292929293,0.96,0.9690721649484536,0.9696969696969697,0.9484536082474226,0.9795918367346939,0.9484536082474226,0.9583333333333334,0.9292929292929293,0.9560608432425732,0.016220926355256817,4,0.9787234042553191,0.9019607843137255,0.9230769230769231,0.9791666666666666,0.9411764705882353,0.9387755102040817,0.96,0.9387755102040817,0.9787234042553191,0.9019607843137255,0.944233945787808,0.028175354671844604,2,0.9583333333333334,0.9583333333333334,1.0,0.9591836734693877,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9387755102040817,0.9583333333333334,0.9689625850340138,0.02112286661433827,6
breast_w,0.12046272754669189,0.005681816624168147,0.01654050350189209,0.00256745313585133,101,25,4,28,"{'n_estimators': 101, 'min_samples_split': 25, 'min_samples_leaf': 4, 'max_depth': 28}",0.9785714285714285,0.95,0.9714285714285714,0.9785714285714285,0.9712230215827338,0.9642857142857143,0.9857142857142858,0.9714285714285714,0.9714285714285714,0.9496402877697842,0.9692291880781088,0.011147758586030787,3,0.9968297101449276,0.9836956521739131,0.9850543478260869,0.9964117515137922,0.9913003663003663,0.9936594202898551,0.9920742753623186,0.9875452898550725,0.9955146893922404,0.9851190476190477,0.9907204550477621,0.0047583110985178435,42,0.968421052631579,0.9292929292929293,0.96,0.9690721649484536,0.9591836734693877,0.9484536082474226,0.9795918367346939,0.9591836734693877,0.9583333333333334,0.9306930693069307,0.956222534143412,0.015276177480921423,3,0.9787234042553191,0.9019607843137255,0.9230769230769231,0.9791666666666666,0.94,0.9387755102040817,0.96,0.94,0.9787234042553191,0.8867924528301887,0.9427219145602225,0.03069993253567065,6,0.9583333333333334,0.9583333333333334,1.0,0.9591836734693877,0.9791666666666666,0.9583333333333334,1.0,0.9791666666666666,0.9387755102040817,0.9791666666666666,0.9710459183673468,0.018818711159341812,4
diabetes,0.1954017162322998,0.010679335779663323,0.021609282493591307,0.003447736987727022,139,25,3,6,"{'n_estimators': 139, 'min_samples_split': 25, 'min_samples_leaf': 3, 'max_depth': 6}",0.7922077922077922,0.8051948051948052,0.8051948051948052,0.7320261437908496,0.7712418300653595,0.7337662337662337,0.7597402597402597,0.7857142857142857,0.7712418300653595,0.7712418300653595,0.772756981580511,0.024507656412047985,1,0.8618518518518519,0.8640740740740741,0.8357407407407407,0.8150943396226414,0.808301886792453,0.7820370370370371,0.8457407407407408,0.8820370370370371,0.8311320754716981,0.8537735849056605,0.8379783368273935,0.028438569286054934,1,0.6666666666666666,0.6875,0.6808510638297872,0.5591397849462365,0.6728971962616822,0.5773195876288659,0.6105263157894737,0.6292134831460674,0.6666666666666666,0.6391752577319587,0.6389956022667406,0.04227570779089149,7,0.7619047619047619,0.7857142857142857,0.8,0.65,0.6666666666666666,0.6511627906976745,0.7073170731707317,0.8,0.6730769230769231,0.7045454545454546,0.7200387955776499,0.058274215525679886,42,0.5925925925925926,0.6111111111111112,0.5925925925925926,0.49056603773584906,0.6792452830188679,0.5185185185185185,0.5370370370370371,0.5185185185185185,0.660377358490566,0.5849056603773585,0.5785464709993011,0.05916276441454316,19
diabetes,0.15036294460296631,0.021859641183738714,0.01813673973083496,0.005476333279415851,105,9,16,24,"{'n_estimators': 105, 'min_samples_split': 9, 'min_samples_leaf': 16, 'max_depth': 24}",0.7922077922077922,0.7987012987012987,0.8116883116883117,0.7254901960784313,0.7581699346405228,0.7142857142857143,0.7597402597402597,0.7857142857142857,0.7908496732026143,0.7777777777777778,0.7714625244037009,0.030176206863547585,2,0.8694444444444445,0.8664814814814815,0.8292592592592593,0.8052830188679245,0.8086792452830188,0.7777777777777777,0.8355555555555556,0.8857407407407408,0.8266037735849057,0.8577358490566038,0.8362561146051712,0.0319488528281565,7,0.6666666666666666,0.6666666666666666,0.6947368421052632,0.5434782608695652,0.6336633663366337,0.56,0.6105263157894737,0.611764705882353,0.6923076923076923,0.6458333333333334,0.6325643849957648,0.049049069103398804,24,0.7619047619047619,0.7948717948717948,0.8048780487804879,0.6410256410256411,0.6666666666666666,0.6086956521739131,0.7073170731707317,0.8387096774193549,0.7058823529411765,0.7209302325581395,0.7250881901512669,0.07087330259988368,17,0.5925925925925926,0.5740740740740741,0.6111111111111112,0.4716981132075472,0.6037735849056604,0.5185185185185185,0.5370370370370371,0.48148148148148145,0.6792452830188679,0.5849056603773585,0.5654437456324248,0.060450481204716994,39
diabetes,0.15011870861053467,0.005474751060928943,0.018898677825927735,0.0008707010132252978,101,12,2,15,"{'n_estimators': 101, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_depth': 15}",0.7922077922077922,0.7922077922077922,0.7792207792207793,0.738562091503268,0.738562091503268,0.7402597402597403,0.7792207792207793,0.7922077922077922,0.7777777777777778,0.7843137254901961,0.7714540361599186,0.021805974472267273,3,0.8529629629629629,0.8511111111111112,0.8337037037037036,0.809433962264151,0.800188679245283,0.7864814814814814,0.8494444444444446,0.8794444444444445,0.8233962264150942,0.8533962264150944,0.8339563242487771,0.027293845525015032,52,0.6666666666666666,0.68,0.6666666666666666,0.5918367346938775,0.6226415094339622,0.6,0.66,0.6521739130434783,0.6851851851851852,0.6597938144329897,0.6484964490122826,0.03082700649193088,1,0.7619047619047619,0.7391304347826086,0.7083333333333334,0.6444444444444445,0.6226415094339622,0.6521739130434783,0.717391304347826,0.7894736842105263,0.6727272727272727,0.7272727272727273,0.7035493385500942,0.051439817480233754,88,0.5925925925925926,0.6296296296296297,0.6296296296296297,0.5471698113207547,0.6226415094339622,0.5555555555555556,0.6111111111111112,0.5555555555555556,0.6981132075471698,0.6037735849056604,0.6045772187281622,0.043150170999967256,2
phoneme,1.1105791807174683,0.046394138655203934,0.04580929279327393,0.0036620936999538097,138,5,1,26,"{'n_estimators': 138, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 26}",0.902867715078631,0.9093432007400555,0.8991674375578168,0.9130434782608695,0.9157407407407407,0.9019426456984274,0.9148936170212766,0.8973172987974098,0.9204440333024977,0.9148148148148149,0.9089574982012539,0.007628733025312725,1,0.9632269146283052,0.9598018894412604,0.9578984095000578,0.9562942538968159,0.9637740779175676,0.9519175186218971,0.9650127173930996,0.9531355806233175,0.9690294847383303,0.9662092603081809,0.9606300107068833,0.005445517370521281,1,0.8372093023255814,0.839344262295082,0.8278041074249605,0.8512658227848101,0.8539325842696629,0.8295819935691319,0.8511326860841424,0.8262910798122066,0.8630573248407644,0.8535031847133758,0.8433122348119719,0.012258330761062941,1,0.823170731707317,0.8737201365187713,0.8291139240506329,0.856687898089172,0.869281045751634,0.8459016393442623,0.8737541528239202,0.8198757763975155,0.8741935483870967,0.8617363344051447,0.8527435187475467,0.020667595288340418,1,0.8517350157728707,0.807570977917981,0.8264984227129337,0.8459119496855346,0.8391167192429022,0.8138801261829653,0.8296529968454258,0.832807570977918,0.8522012578616353,0.8454258675078864,0.8344800904708052,0.014567196122984516,1
phoneme,0.2519742727279663,0.006882906241743802,0.017441558837890624,0.004427366055663754,33,3,2,19,"{'n_estimators': 33, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 19}",0.9000925069380203,0.9000925069380203,0.8982423681776133,0.9037927844588344,0.9111111111111111,0.8945420906567992,0.9047178538390379,0.8936170212765957,0.9158186864014801,0.9111111111111111,0.9033138040908624,0.007054164581714019,2,0.9602147918146235,0.9521549374865806,0.956496605942491,0.9502769603600485,0.9628148889283957,0.9464692718053744,0.9607639519711959,0.9505053925049962,0.9657467626136486,0.9609647291324714,0.9566408292559825,0.006093057626035588,3,0.8343558282208589,0.8205980066445183,0.8248407643312102,0.8343949044585988,0.8436482084690554,0.814935064935065,0.8346709470304976,0.8211508553654744,0.8557844690966719,0.8466453674121406,0.8331024415964091,0.01229760241093172,2,0.8119402985074626,0.8666666666666667,0.8327974276527331,0.8451612903225807,0.8720538720538721,0.8394648829431438,0.8496732026143791,0.8098159509202454,0.8626198083067093,0.8576051779935275,0.844779857798132,0.020499966514762467,2,0.8580441640378549,0.7791798107255521,0.8170347003154574,0.8238993710691824,0.8170347003154574,0.7917981072555205,0.8201892744479495,0.832807570977918,0.8490566037735849,0.8359621451104101,0.8225006448028888,0.022676855773090265,3
